year,month,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal
1870,1,24.36047802980626,25.589122935828875,27.062834260997064,25.905516277173913,27.77594496727273,27.260837526690395
1870,2,25.232013241430703,25.5684027486631,26.398176703812315,25.929007179347828,27.922990203636363,27.22963681494662
1870,3,26.408104952309987,26.42863328342246,26.873291340175953,27.307886323369566,28.828620936363635,28.418718387900356
1870,4,26.75296557973174,26.930441096256686,27.312053835777125,28.73594521195652,29.488714236363638,29.374944142348753
1870,5,26.032283545454547,26.599070679144386,27.212505700879763,29.181861576086956,28.880858007272728,29.47320168683274
1870,6,25.5663179195231,26.620358713012475,27.241050873900292,28.316261323369567,28.143250014545455,28.77976677935943
1870,7,24.73810567362146,26.225527081996436,27.259908222873904,27.05586558152174,27.793112349090908,28.407197441281138
1870,8,24.275175736214607,26.0397957771836,27.2429336686217,26.575239057065218,27.784305743636363,28.256095622775803
1870,9,24.25757260655738,26.267504959001784,27.774759134897362,26.870819801630432,27.73957211818182,28.291728220640568
1870,10,23.858429888226528,25.87808465775401,27.585448222873904,27.804511358695652,27.83381594727273,28.187937693950175
1870,11,24.116421621460507,25.91918901426025,27.4952136686217,27.497625671195653,27.90460759090909,27.78157056939502
1870,12,24.341116405365124,25.82579069875223,27.167281651026393,26.530251070652174,27.796950176363637,26.783929580071174
1871,1,25.41909961847988,26.336591877005347,27.23196153079179,25.758012486413044,27.796845283636365,26.505696053380785
1871,2,25.899451986587184,26.18975737076649,27.04220693255132,25.777475785326086,28.005487361818183,26.778024263345195
1871,3,26.70114910581222,26.824332959001783,27.307592384164224,26.706135815217394,28.59279925272727,27.863389049822064
1871,4,26.967112163934424,27.261043281639928,27.74586270967742,28.22427204076087,29.180121738181818,28.992208775800712
1871,5,26.30902569299553,27.150685262032088,27.799045914956015,29.094648698369564,28.922271736363633,29.443110765124555
1871,6,25.99959152757079,27.150961754010698,27.825067463343107,28.101000502717394,28.13755995636364,28.74942559786477
1871,7,25.20377317585693,26.641293590017824,27.61184340762463,27.108264861413044,27.785843030909092,28.374482384341636
1871,8,24.7935312533532,26.56863632263815,27.79932686803519,26.459735551630438,27.566933738181817,28.150071825622778
1871,9,24.72283687034277,26.541311190730838,27.86104631671554,26.77004594021739,27.460961298181818,28.10572121708185
1871,10,24.68633662295082,26.43610430124777,27.76822104692082,27.601974953804348,27.547849579999998,28.228270067615657
1871,11,24.79610309985097,26.388143497326205,27.64072624340176,27.51530489673913,27.830462370909093,28.031117177935943
1871,12,24.639025460506705,26.033785869875224,27.16471548680352,26.47101829347826,27.691044787272727,26.962445078291815
1872,1,24.928880961251863,25.883492247771834,26.884408480938415,25.762842179347825,27.64088372909091,26.495027096085412
1872,2,25.683220344262295,26.159738206773618,27.010179334310852,25.902296573369565,28.05208834,26.839036359430605
1872,3,26.51979739344262,26.76506278966132,27.39800859824047,26.983819722826084,28.623189349090907,27.9867746975089
1872,4,26.680990655737705,26.98348166131907,27.491981410557184,28.29934158152174,29.135005576363636,28.896294921708186
1872,5,26.356715174366617,27.23433023707665,27.968015055718478,29.25011820923913,29.034827,29.380210370106763
1872,6,25.927840543964233,27.15740452406417,27.886525659824045,28.502006782608696,28.399409036363636,28.828541295373668
1872,7,25.314299684053655,26.920839689839575,27.90808753079179,27.240671010869566,27.830030378181817,28.277780085409255
1872,8,24.32894070938897,26.063783040998217,27.25695729325513,26.49869449728261,27.525100554545453,28.005425017793595
1872,9,24.124649847988078,25.77976892156863,27.097696592375367,26.96182958423913,27.646201825454543,28.1843652455516
1872,10,23.95698619076006,25.819469800356504,27.367152882697948,27.806088070652173,27.818187972727273,28.31397593950178
1872,11,24.155964743666168,25.876985973262034,27.46391348387097,27.59705232880435,28.079355954545456,28.10688665836299
1872,12,24.263743478390463,25.711221217468804,27.07415309970674,26.340304567934783,27.826745605454544,26.920843583629892
1873,1,24.728851856929953,25.78952909090909,26.96017986217009,25.716327864130434,27.766653101818182,26.582770039145906
1873,2,25.242817560357675,25.759075368983957,26.689106879765397,25.58435677173913,27.75137025818182,26.689680451957297
1873,3,25.661980710879284,25.95822330124777,26.605336841642227,26.520452111413043,28.231571918181817,27.809903046263344
1873,4,26.67549368852459,27.084077115864527,27.55031369208211,28.3263828125,29.088215125454546,29.115664227758007
1873,5,26.325078536512667,27.31842886096257,28.00922788269795,29.145609885869565,28.65249629818182,29.355524864768682
1873,6,26.13407040536513,27.205699007130125,27.786167337243402,28.349565788043478,27.947277554545455,28.694063042704627
1873,7,25.257892357675114,26.67544655080214,27.67292931085044,27.033089255434785,27.50586904,28.209123153024912
1873,8,24.788505806259312,26.51974586096257,27.67987446041056,26.33903282608696,27.350285981818182,27.960361170818505
1873,9,24.567104661698956,26.43846751871658,27.701916557184752,26.881049894021743,27.657256512727272,28.264792612099644
1873,10,24.11665145305514,25.983168557932263,27.401716146627564,27.744742717391304,27.603382525454546,28.138838451957294
1873,11,24.097653615499254,25.910706240641712,27.47365384750733,27.316988951086955,27.759469447272725,27.80635940569395
1873,12,24.187368771982115,25.895685573975044,27.48351791202346,26.265314649456524,27.640776854545454,26.73408393238434
1874,1,24.382513800298064,25.651078513368983,27.11792991495601,25.71082131521739,27.857732,26.590859234875442
1874,2,25.042196636363638,25.707475456327987,26.833389680351903,25.59985416304348,27.944138629090908,26.829138046263346
1874,3,25.730576463487335,25.875902049910874,26.63528537829912,26.818974154891304,28.64895058909091,27.92845512455516
1874,4,26.49371887928465,26.82692922459893,27.44130360410557,28.068788040760868,29.01424479090909,28.926078637010676
