year,month,Average Rainfall,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal,SPI_1,Drought_Category,Drought_Category_Encoded
1901,1,0.23212104135000003,26.11696924590164,27.36752357754011,28.4894758914956,26.00640768478261,27.962290916363635,27.21463339145908,0.980145989586235,No drought,1
1901,2,0.03,26.43127916244412,27.03263690374332,27.91139863636364,25.765963902173915,27.93174435454545,27.23227224911032,-0.8176399950515535,Mild drought,2
1901,3,0.09639933166129029,26.90253883457526,27.2875099714795,27.964798055718475,26.879438089673915,28.534985587272725,28.201504035587188,0.0674348130698589,No drought,1
1901,4,0.03,27.144844464977645,27.6202799714795,28.2134693255132,28.441568519021736,29.290118521818183,29.2889333950178,-0.8283366805616962,Mild drought,2
1901,5,0.0693476824629032,26.59348430700447,27.6606776114082,28.47343181231672,29.24725145380435,28.960748598181816,29.52719412811388,-0.863455634547469,Mild drought,2
1901,6,0.15289398230166662,26.06952901639344,27.424998942959004,28.23284619061584,28.159309755434784,28.06505198363637,28.75486400355872,-1.3853997489934975,Moderate drought,3
1901,7,3.247803936158064,25.21955715499255,26.941584634581105,28.1230929941349,26.890903279891305,27.41967222909091,28.17573441637011,0.2644712756866608,No drought,1
1901,8,2.5428405698790315,24.604266426229508,26.52408796791444,27.97565070087977,26.166634135869568,27.421753863636365,27.985964167259787,-0.02282156549144516,Mild drought,2
1901,9,0.0348152197933333,24.59659352160953,26.465404550802138,27.788654780058653,26.55243699728261,27.17885482909091,28.08528875088968,-1.742891028773978,Severe drought,4
1901,10,0.0800095362919354,24.71993383755589,26.440839219251338,27.87075741642229,27.660138195652177,27.518448714545453,28.24298857295373,-0.2124719714554242,Mild drought,2
1901,11,0.03,24.963644004470936,26.28153202139037,27.63226637829912,27.172047051630432,27.557413394545453,27.854185284697508,-0.5039753172388791,Mild drought,2
1901,12,0.048284823590322504,25.18480954545455,26.256551771836005,27.398420721407625,26.327492665760868,27.608314274545457,27.003092274021352,-0.16028359292934427,Mild drought,2
1902,1,0.03,25.5865746542474,26.101130860962567,27.009980442815248,25.56776280434783,27.57987451090909,26.644332355871885,-0.821697121928032,Mild drought,2
1902,2,0.03,26.33951978837556,26.501078124777184,27.27270874780059,25.77567143206522,27.96727951636364,26.95000334875445,-0.8176399950515535,Mild drought,2
1902,3,0.03,27.12958405514158,26.970252743315505,27.4404758797654,26.83721579619565,28.48745427090909,27.916369825622773,-0.7410204976065166,Mild drought,2
1902,4,0.0516426322933333,27.73770533681073,27.93884208377897,28.37788319941349,28.41423878804348,29.200885901818182,29.091098836298933,-0.5065760292266779,Mild drought,2
1902,5,0.046921508066129006,27.365677739195228,28.309026966131903,29.149614700879766,29.086978279891305,28.91558338727273,29.297127647686832,-1.071149299506057,Moderate drought,3
1902,6,2.6506497740933326,27.38070199403875,28.423477557932262,29.162867671554253,28.393317760869564,28.390562185454545,29.00457140925267,1.483566636362673,No drought,1
1902,7,0.5693260494145161,27.197947308494783,28.65694702495544,29.42216195601173,27.124742820652173,27.79613100909091,28.38942191459075,-1.639325186128217,Severe drought,4
1902,8,2.3035020526548378,26.37616008196721,28.09582186096257,29.119783489736072,26.751680298913044,27.651949361818183,28.225865427046266,-0.13713514939902174,Mild drought,2
1902,9,0.9739173760733334,26.326884630402382,28.178250096256686,29.48083800293256,26.97305407608696,27.71133317090909,28.22452955871886,0.0660550718503333,No drought,1
1902,10,0.07181773387580641,26.57467377347243,28.13786273975045,29.310173190615835,27.870213157608696,27.799501025454543,28.507128736654803,-0.2769407115277122,Mild drought,2
1902,11,0.03,26.686611229508195,28.19278,29.270406478005864,27.49056094565217,27.83380781818182,28.072897419928825,-0.5039753172388791,Mild drought,2
1902,12,0.03,26.47534263785395,27.9554035258467,28.85474899706745,26.653074410326088,27.871889372727274,27.41050612811388,-0.5602438005461869,Mild drought,2
1903,1,0.0887338225983871,26.72155029210134,27.87133729233512,28.69957919941349,25.651329801630435,27.72179384363636,26.8171531886121,-0.006950678935570053,Mild drought,2
1903,2,0.12553763728571418,26.80636115797317,27.668738871657755,28.536016519061587,25.841450644021737,28.03058897272728,27.18428776868328,0.10937947413444091,No drought,1
1903,3,0.2151543901225806,27.51016457526081,28.03600696791444,28.61914706451613,26.664003497282607,28.63574548181818,28.0854886797153,0.8136653892666136,No drought,1
1903,4,0.03,27.421376733233977,28.104693040998217,28.65293426979472,27.97539238858696,29.12579704,29.07978238078292,-0.8283366805616962,Mild drought,2
1903,5,0.25525127724032254,26.83783388375559,27.76034785026738,28.51640077419355,29.15409144565217,28.822478143636364,29.53597650177936,-0.009105643732171173,Mild drought,2
1903,6,0.0579467156266666,26.574520171385995,27.961731426024954,28.9402796627566,28.36150049456522,28.366432454545457,28.997349804270463,-1.9680610382115278,Severe drought,4
1903,7,5.83144390478387,25.27280341579732,26.78020174509804,27.94679319648094,27.23246863586956,27.74324590727273,28.466374925266905,1.1750223459921072,No drought,1
1903,8,3.1826517211306444,24.550644239940382,26.59442959180036,28.181375917888563,26.47844984510869,27.57439475454545,28.19166334163701,0.2505508160009985,No drought,1
1903,9,1.6620535937,24.305531724292106,26.201706784313725,27.73757857478006,26.752363,27.543078943636363,28.210036110320285,0.530120157353265,No drought,1
1903,10,0.03,24.3973723561848,26.34100502495544,27.82602993841642,27.52420201086957,27.46430994181818,28.299727654804272,-0.7388873902135528,Mild drought,2
1903,11,0.03,24.33562870938897,25.93614554367201,27.48505704985337,27.106344910326083,27.481103081818183,27.667666644128115,-0.5039753172388791,Mild drought,2
