year,month,Average Rainfall,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal,SPI_1
1901,1,0.21212104135,26.11696924590164,27.36752357754011,28.4894758914956,26.00640768478261,27.962290916363635,27.21463339145908,1.0027615125640563
1901,2,0.01,26.43127916244412,27.03263690374332,27.91139863636364,25.765963902173915,27.93174435454545,27.23227224911032,-0.8953273011101508
1901,3,0.0763993316612903,26.90253883457526,27.2875099714795,27.964798055718475,26.879438089673915,28.534985587272725,28.201504035587188,0.17227857289572945
1901,4,0.01,27.144844464977645,27.6202799714795,28.2134693255132,28.441568519021736,29.290118521818183,29.2889333950178,-0.9347174392358412
1901,5,0.0493476824629032,26.59348430700447,27.6606776114082,28.47343181231672,29.24725145380435,28.960748598181816,29.52719412811388,-0.8272113939017209
1901,6,0.1328939823016666,26.06952901639344,27.424998942959004,28.23284619061584,28.159309755434784,28.06505198363637,28.75486400355872,-1.3650848731668261
1901,7,3.2278039361580646,25.21955715499255,26.941584634581105,28.1230929941349,26.890903279891305,27.41967222909091,28.17573441637011,0.26955540965308056
1901,8,2.522840569879032,24.604266426229508,26.52408796791444,27.97565070087977,26.166634135869568,27.421753863636365,27.985964167259787,-0.008525975747511454
1901,9,0.0148152197933333,24.59659352160953,26.465404550802138,27.788654780058653,26.55243699728261,27.17885482909091,28.08528875088968,-1.924603090358385
1901,10,0.0600095362919354,24.71993383755589,26.440839219251338,27.87075741642229,27.660138195652177,27.518448714545453,28.24298857295373,-0.11944941303415188
1901,11,0.01,24.963644004470936,26.28153202139037,27.63226637829912,27.172047051630432,27.557413394545453,27.854185284697508,-0.5532266507392292
1901,12,0.0282848235903225,25.18480954545455,26.256551771836005,27.398420721407625,26.327492665760868,27.608314274545457,27.003092274021352,-0.06557751963666014
1902,1,0.01,25.5865746542474,26.101130860962567,27.009980442815248,25.56776280434783,27.57987451090909,26.644332355871885,-0.9084076643325846
1902,2,0.01,26.33951978837556,26.501078124777184,27.27270874780059,25.77567143206522,27.96727951636364,26.95000334875445,-0.8953273011101508
1902,3,0.01,27.12958405514158,26.970252743315505,27.4404758797654,26.83721579619565,28.48745427090909,27.916369825622773,-0.8242072086112799
1902,4,0.0316426322933333,27.73770533681073,27.93884208377897,28.37788319941349,28.41423878804348,29.200885901818182,29.091098836298933,-0.4487092285501725
1902,5,0.026921508066129002,27.365677739195228,28.309026966131903,29.149614700879766,29.086978279891305,28.91558338727273,29.297127647686832,-1.0933242404644616
1902,6,2.630649774093333,27.38070199403875,28.423477557932262,29.162867671554253,28.393317760869564,28.390562185454545,29.00457140925267,1.4563959112945504
1902,7,0.5493260494145161,27.197947308494783,28.65694702495544,29.42216195601173,27.124742820652173,27.79613100909091,28.38942191459075,-1.615488255522113
1902,8,2.283502052654838,26.37616008196721,28.09582186096257,29.119783489736072,26.751680298913044,27.651949361818183,28.225865427046266,-0.12033247654206558
1902,9,0.9539173760733334,26.326884630402382,28.178250096256686,29.48083800293256,26.97305407608696,27.71133317090909,28.22452955871886,0.09242512048099667
1902,10,0.051817733875806404,26.57467377347243,28.13786273975045,29.310173190615835,27.870213157608696,27.799501025454543,28.507128736654803,-0.1889024380571206
1902,11,0.01,26.686611229508195,28.19278,29.270406478005864,27.49056094565217,27.83380781818182,28.072897419928825,-0.5532266507392292
1902,12,0.01,26.47534263785395,27.9554035258467,28.85474899706745,26.653074410326088,27.871889372727274,27.41050612811388,-0.6193695856170408
1903,1,0.0687338225983871,26.72155029210134,27.87133729233512,28.69957919941349,25.651329801630435,27.72179384363636,26.8171531886121,0.09981566433215476
1903,2,0.10553763728571419,26.80636115797317,27.668738871657755,28.536016519061587,25.841450644021737,28.03058897272728,27.18428776868328,0.2124726758120617
1903,3,0.1951543901225806,27.51016457526081,28.03600696791444,28.61914706451613,26.664003497282607,28.63574548181818,28.0854886797153,0.8608368065551656
1903,4,0.01,27.421376733233977,28.104693040998217,28.65293426979472,27.97539238858696,29.12579704,29.07978238078292,-0.9347174392358412
1903,5,0.23525127724032252,26.83783388375559,27.76034785026738,28.51640077419355,29.15409144565217,28.822478143636364,29.53597650177936,0.053450145895160846
1903,6,0.0379467156266666,26.574520171385995,27.961731426024954,28.9402796627566,28.36150049456522,28.366432454545457,28.997349804270463,-2.048492944897032
1903,7,5.811443904783871,25.27280341579732,26.78020174509804,27.94679319648094,27.23246863586956,27.74324590727273,28.466374925266905,1.1637945273158354
1903,8,3.162651721130645,24.550644239940382,26.59442959180036,28.181375917888563,26.47844984510869,27.57439475454545,28.19166334163701,0.2586132042801628
1903,9,1.6420535937,24.305531724292106,26.201706784313725,27.73757857478006,26.752363,27.543078943636363,28.210036110320285,0.5417910791917021
1903,10,0.01,24.3973723561848,26.34100502495544,27.82602993841642,27.52420201086957,27.46430994181818,28.299727654804272,-0.8314038433897544
1903,11,0.01,24.33562870938897,25.93614554367201,27.48505704985337,27.106344910326083,27.481103081818183,27.667666644128115,-0.5532266507392292
1903,12,0.0137359637096774,24.11990154843517,25.5912792513369,27.106915917888564,26.23097314945652,27.47079084,26.64629875088968,-0.46500332837406355
1904,1,0.08740069356612899,25.151627716840537,25.849402991087345,26.731723800586508,25.447403798913047,27.23604695454545,26.14649533451957,0.2655149725297881
1904,2,0.1339416767586206,25.740379399403874,25.99112670409982,26.794158492668625,25.594557605978263,27.715378161818183,26.601855601423487,0.36710808151377705
1904,3,0.4494702863403225,26.229366143070045,26.42073891622104,27.15676893548387,26.69290461413044,28.22972797090909,27.558338188612097,1.7000903616127996
