Year,Month,Average Rainfall
1981,8,1.967741935483871
1981,9,3.0433333080000002
1981,10,0.0
1981,11,1.4599999746666665
1981,12,0.0
1982,1,0.22580645161290322
1982,2,0.0
1982,3,0.21290322270967743
1982,4,1.8033333459999998
1982,5,2.7516129093870965
1982,6,0.14000000010000002
1982,7,5.632258115419354
1982,8,2.974193572935484
1982,10,0.8774193564193549
1982,11,0.0
1982,12,0.0
1983,1,0.0
1983,2,0.0
1983,3,0.0
1983,4,0.8666666666666667
1983,5,1.1612903302903226
1983,6,1.2666666666666666
1983,7,10.974193572903227
1983,8,2.1548387081290326
1983,9,0.6333333333333333
1983,10,0.0
1983,11,0.0
1983,12,0.0
1984,1,0.0
1984,2,0.0
1984,3,0.0
1984,4,0.0
1984,5,0.0
1984,6,0.0
1984,7,1.064516129032258
1984,8,2.548387121677419
1984,9,3.6166666666666667
1984,10,0.0
1984,11,0.0
1984,12,0.0
1985,1,0.0
1985,2,0.0
1985,3,0.0
1985,4,0.5733333586666667
1985,5,1.7741935483870968
1985,6,0.0
1985,7,1.6064516113548388
1985,8,1.6709677480322582
1985,9,0.26666666666666666
1985,10,0.46774193548387094
1985,11,0.0
1985,12,0.016129032258064516
1986,1,0.0
1986,2,0.21428571428571427
1986,3,0.0
1986,4,0.0
1986,5,1.1935483870967742
1986,6,0.0
1986,7,3.316129084354839
1986,8,0.9419354930645162
1986,9,0.0
1986,10,0.0
1986,11,0.0
1986,12,0.0
1987,1,0.2903225806451613
1987,2,0.0
1987,3,0.14516129032258066
1987,4,0.0
1987,5,0.9032258217741935
1987,6,1.3
1987,7,1.6129032258064515
1987,8,0.8870967741935484
1987,9,0.0
1987,10,0.0
1987,11,0.0
1987,12,0.22580645161290322
1988,1,0.11612902919354838
1988,2,0.0
1988,3,0.0
1988,4,0.0
1988,5,0.0
1988,6,0.5666666666666667
1988,7,4.980645226
1988,8,3.6129032258064515
1988,9,1.1766666730333333
1988,10,0.0
1988,11,0.0
1988,12,0.0
1989,1,0.09354839016129032
1989,2,0.0
1989,3,0.13548387251612903
1989,4,0.0
1989,5,0.0
1989,6,0.5266666611333333
1989,7,2.1645161413225806
1989,8,6.129032258064516
1989,9,0.8
1989,10,0.0
1989,11,0.0
1989,12,0.0
1990,1,0.0
1990,2,0.9285714285714286
1990,3,0.0
1990,4,0.0
1990,5,0.8709677419354839
1990,6,0.0
1990,7,15.96774193548387
1990,8,5.5
1990,9,3.216666666666667
1990,10,0.0
1990,11,0.0
1990,12,0.0
1991,1,0.0
1991,2,0.0
1991,3,0.0
1991,4,0.7166666666666667
1991,5,0.0
1991,6,0.3333333333333333
1991,7,3.0806451612903225
1991,8,3.064516129032258
1991,9,0.2833333333333333
1991,10,0.0
1991,11,0.0
1991,12,0.06451612903225806
1992,1,0.6774193548387096
1992,2,0.35172413137931036
1992,3,0.06451612903225806
1992,4,0.0
1992,5,0.14193548693548388
1992,6,0.03666666746666667
1992,7,2.6548387158387095
1992,8,5.548387096774194
1992,9,7.766666666666667
1992,10,0.0
1992,11,0.0
1992,12,0.0
1993,1,0.06451612903225806
1993,2,0.0
1993,3,0.0
1993,4,0.3333333333333333
1993,5,0.1935483870967742
1993,6,0.6
1993,7,4.838709677419355
1993,8,0.1935483870967742
1993,9,1.1666666666666667
1993,10,0.0967741935483871
1993,11,0.06666666666666667
1993,12,0.0
1994,1,0.7741935483870968
1994,2,0.0
1994,3,0.0
1994,4,0.6
1994,5,0.1935483870967742
1994,6,0.26666666666666666
1994,7,4.806451612903226
1994,8,4.35483870583871
1994,9,1.8666666785333335
1994,10,0.0
1994,11,0.0
1994,12,0.0
1995,1,0.0
1995,2,0.0
1995,3,0.0
1995,4,0.0
1995,5,0.0
1995,6,0.5399999936333333
1995,7,9.154838685645162
1995,8,1.935483870967742
1995,9,0.03333333333333333
1995,10,0.41935483870967744
1995,11,0.0
1995,12,0.0
1996,1,0.0
1996,2,0.0
1996,3,0.0
1996,4,0.2
1996,5,0.7838709738387097
1996,6,4.946666621966667
1996,7,2.8967742303225807
1996,8,7.825806456258065
1996,9,0.3333333333333333
1996,10,0.0
1996,11,0.0
1996,12,0.0
1997,1,0.0
1997,2,0.0
1997,3,0.0
1997,4,0.0
1997,5,0.6290322580645161
1997,6,2.6333333333333333
1997,7,1.9709677542258064
1997,8,10.238709726774193
1997,9,0.1700000008
1997,10,2.6451612903225805
1997,11,0.26666666666666666
1997,12,0.0
1998,1,0.0
1998,2,0.0
